intervals,technique,fold,horizon,cosine,rmse,er_pred,er_actual
75,nav,6,19,0.030407290503370765,4.610640541003724,4.569517209352975,3.942581851835944
75,nav,7,19,0.01874024565310728,3.5368721457590446,5.05564504209589,4.111118552934551
75,nav,8,19,0.04454029922800462,5.644162999393163,4.9805975185625995,4.047962009604492
75,nav,9,19,0.0257337471360366,4.432831306307269,5.0153188946680896,4.108971004641175
75,nav,0,20,0.01625943101646543,3.111775127550904,5.068254488842993,4.308202576426226
75,nav,1,20,0.017511312832311554,3.191047263339149,5.095551755633543,4.381013936998307
75,nav,2,20,0.020250100262633852,3.375989366874089,5.365022211060452,4.4507789312477515
75,nav,3,20,0.024819470209530237,3.79295726613088,5.0898931835343575,4.242637174306542
75,nav,4,20,0.043580179245402584,5.569682076483566,4.241137114658547,3.7844049020041597
75,nav,5,20,0.02594118739287965,3.8239337253412837,5.127867680241472,4.355436756058691
75,nav,6,20,0.012643763082219595,2.862558920281726,4.709182510890756,4.15779297336246
75,nav,7,20,0.02975367331772405,4.583114946368015,4.562857505945092,3.942581851835944
75,nav,8,20,0.019200610867738277,3.579237494646576,5.0663162026288076,4.111118552934551
75,nav,9,20,0.04746042229352687,5.789930882423394,5.101688886001384,4.047962009604492
75,nav,0,21,0.0201447842243504,3.8072051574759027,4.450640799760886,3.9048399941889467
75,nav,1,21,0.01666688742065514,3.1455101150735163,5.142172015882506,4.308202576426226
75,nav,2,21,0.01744840101348244,3.19283247372093,5.087148740724079,4.381013936998307
75,nav,3,21,0.020728061388227026,3.415477219009042,5.390772427422494,4.4507789312477515
75,nav,4,21,0.02521889390820009,3.8250043071884905,5.090764487467579,4.242637174306542
75,nav,5,21,0.04242116153117981,5.513921774321189,4.232807820564905,3.7844049020041597
75,nav,6,21,0.026803753863264834,3.886219649999737,5.3893431731511905,4.355436756058691
75,nav,7,21,0.01252496383275481,2.863795565427544,4.706604327981581,4.15779297336246
75,nav,8,21,0.031141573270519696,4.672979209656036,4.578962987937885,3.942581851835944
75,nav,9,21,0.019849322313088558,3.630213309811236,5.3470408232599285,4.111118552934551
75,nav,0,22,0.02242488008001975,3.6788177448740242,4.872930954708082,4.212451010948466
75,nav,1,22,0.020344455933953953,3.8211451142037314,4.471628972993389,3.9048399941889467
75,nav,2,22,0.016698284360400217,3.1557323710732352,5.136272281500096,4.308202576426226
75,nav,3,22,0.017725007584430075,3.2193269783999,5.108406413274816,4.381013936998307
75,nav,4,22,0.021114996764529992,3.4488471753470598,5.39957833313284,4.4507789312477515
75,nav,5,22,0.02628121502541869,3.898591071871864,5.093767696980942,4.242637174306542
75,nav,6,22,0.04008951119659576,5.402585532943588,4.309931959792319,3.7844049020041597
75,nav,7,22,0.027962419951519824,3.9678660132969705,5.39124039396846,4.355436756058691
75,nav,8,22,0.013229023143801921,2.935274301147694,4.722380379193924,4.15779297336246
75,nav,9,22,0.03362607064754963,4.81904182611908,4.91463121094965,3.942581851835944
75,nav,0,23,0.023838745609352396,3.7876744550948116,5.259439537756332,4.313821933938209
75,nav,1,23,0.02298836831487283,3.7188180963432007,4.917649108320157,4.212451010948466
75,nav,2,23,0.021322981087275927,3.9016068083199253,4.481681821774764,3.9048399941889467
75,nav,3,23,0.017040583350038885,3.1883357153175917,5.152701334274203,4.308202576426226
75,nav,4,23,0.01800299411406281,3.247199607816814,5.119039681892091,4.381013936998307
75,nav,5,23,0.021574372962649302,3.4847463021177676,5.394869249209344,4.4507789312477515
75,nav,6,23,0.028015374785475555,4.01769144935067,5.3311349015913585,4.242637174306542
75,nav,7,23,0.039699337299909265,5.393474569757358,4.304509818247327,3.7844049020041597
